month,nums_category_img,count,total,proportion
01,0,176,3583,0.049120848451018696
01,1,392,3583,0.10940552609545073
01,2,167,3583,0.046608986882500696
01,3,107,3583,0.029863243092380688
01,4,195,3583,0.054423667317890036
01,5,127,3583,0.035445157689087355
01,6,178,3583,0.049679039910689365
01,7,100,3583,0.027909572983533353
01,8,120,3583,0.03349148758024002
01,9,243,3583,0.06782026234998605
01,10,114,3583,0.03181691320122802
01,11,97,3583,0.027072285794027352
01,12,140,3583,0.039073402176946694
01,13,131,3583,0.03656154060842869
01,14,208,3583,0.058051911805749375
01,15,70,3583,0.019536701088473347
01,16,174,3583,0.048562656991348034
01,17,280,3583,0.07814680435389339
01,18,234,3583,0.06530840078146805
01,19,205,3583,0.057214624616243374
01,20,4,3583,0.0011163829193413341
01,22,4,3583,0.0011163829193413341
01,24,3,3583,0.0008372871895060006
01,25,1,3583,0.00027909572983533354
01,26,1,3583,0.00027909572983533354
01,27,2,3583,0.0005581914596706671
01,28,1,3583,0.00027909572983533354
01,29,4,3583,0.0011163829193413341
01,31,4,3583,0.0011163829193413341
01,32,6,3583,0.0016745743790120011
01,34,1,3583,0.00027909572983533354
01,35,1,3583,0.00027909572983533354
01,36,4,3583,0.0011163829193413341
01,37,2,3583,0.0005581914596706671
01,38,9,3583,0.0025118615685180016
01,40,7,3583,0.0019536701088473346
01,41,3,3583,0.0008372871895060006
01,47,3,3583,0.0008372871895060006
01,48,2,3583,0.0005581914596706671
01,49,1,3583,0.00027909572983533354
01,52,1,3583,0.00027909572983533354
01,53,1,3583,0.00027909572983533354
01,55,1,3583,0.00027909572983533354
01,63,7,3583,0.0019536701088473346
01,64,1,3583,0.00027909572983533354
01,67,3,3583,0.0008372871895060006
01,69,1,3583,0.00027909572983533354
01,71,4,3583,0.0011163829193413341
01,72,3,3583,0.0008372871895060006
01,73,2,3583,0.0005581914596706671
01,74,1,3583,0.00027909572983533354
01,77,1,3583,0.00027909572983533354
01,81,12,3583,0.0033491487580240022
01,82,1,3583,0.00027909572983533354
01,83,3,3583,0.0008372871895060006
01,85,1,3583,0.00027909572983533354
01,88,2,3583,0.0005581914596706671
01,89,2,3583,0.0005581914596706671
