poster_id,post_id,nums_category_img,post_date,post_like,post_collect
61bc9352000000001000ec0d,652e08bb000000001d03b0e2,0,2023-10-17,23150,10911
61f2192900000000100070b8,65caf8e8000000002c02a2c8,8,02-13,10,10
5bc7fce62d9b750001ac98e0,64827f3d00000000130048b5,3,2023-06-09,452,128
5aba606911be10295ed87da0,6548505e00000000230396ee,5,2023-11-06,506,143
592c72be50c4b47b345a70f0,665706f80000000014019f22,1,05-29,1404,378
592c72be50c4b47b345a70f0,665706f80000000014019f22,1,05-29,1404,378
57640f416a6a69300be41e31,6613b314000000001b008974,10,04-08,237,79
55ba37e567bc652d2acdc72d,652011d8000000001f0367d7,5,2023-10-06,10,3
5657fe6082ec392034a6fafa,6573ec910000000038014303,18,2023-12-09,16,2
5b711ee270c995000124ef71,650237a10000000015009d9c,17,2023-09-14,702,125
57df3ffc50c4b44f636c3a3a,66161054000000001b012360,2,2024-04-10,350,100
57df3ffc50c4b44f636c3a3a,66161054000000001b012360,2,2024-04-10,350,100
56526e4ce4b1cf0da0e3b5e1,66617e02000000000f00e674,15,06-06,351,159
5a5e0afb11be1017b83be966,652b6209000000001f005c8f,0,2023-10-15,136,42
6186bbbe000000001000edb1,660e972c000000001a010d7b,17,04-04,10,10
5d975024000000000100966b,652aa156000000001e033d15,0,2023-10-14,115,41
61eff0ac0000000010007090,65a78d0b000000002900e3e7,19,01-19,3247,1091
61bc9352000000001000ec0d,6486997600000000110112d7,0,2023-06-12,6826,2953
598f16d96a6a697233cf55b5,649aa5340000000013037907,15,2023-06-27,741,452
