poster_id,post_id,nums_category_img,post_date,post_like,post_collect,count,total,proportion
592c72be50c4b47b345a70f0,65b643ef000000002c015b02,1,01-28,1000,10,248.0,4745.0,0.0522655426765015
6213b096000000001000db1a,659394050000000011017532,4,01-02,205,38,384.0,4745.0,0.0809272918861959
5f9e1618000000000101ce79,65cce26f000000002d001c11,4,02-14,14677,1666,537.0,5853.0,0.0917478216299333
5870687f50c4b44ba361428b,663afc91000000001e037aea,15,05-08,178,39,37.0,1487.0,0.0248823133826496
592c72be50c4b47b345a70f0,6602c414000000001203f9a5,1,03-26,141,43,297.0,8672.0,0.0342481549815498
592c72be50c4b47b345a70f0,6602c414000000001203f9a5,1,03-26,141,43,297.0,8672.0,0.0342481549815498
5b6b9854f7e8b91a148aa336,6649a8d600000000050076ab,4,05-19,37,0,103.0,1487.0,0.0692669804976462
61f2192900000000100070b8,65f918cd0000000012021373,13,03-19,190,35,335.0,8672.0,0.038630073800738
5daf230d0000000001009946,64aea7a7000000002f028fe3,10,07-13,2370,70,107.0,1905.0,0.0561679790026246
5bd97a789333970001407645,6500549800000000200019f8,9,09-12,251,73,297.0,3023.0,0.0982467747270923
592c72be50c4b47b345a70f0,6649fb430000000014018e7e,1,05-19,588,162,15.0,1487.0,0.0100874243443174
5f9e1618000000000101ce79,6634a9c3000000001e03aaa7,16,05-03,315,147,19.0,1487.0,0.0127774041694687
617fb2900000000010007cda,659a16a4000000001200495a,8,01-07,10,10,130.0,4745.0,0.0273972602739726
55ba37e567bc652d2acdc72d,64fe95ca000000002000279a,3,09-11,10,10,116.0,3023.0,0.0383724776711875
5d975024000000000100966b,647df0a40000000013006d86,0,06-05,142,55,74.0,1662.0,0.0445246690734055
5d975024000000000100966b,65a13ff7000000001e009bb9,4,01-12,37,7,384.0,4745.0,0.0809272918861959
57df3ffc50c4b44f636c3a3a,65f912d10000000014005f85,2,03-19,237,33,480.0,8672.0,0.055350553505535
56526e4ce4b1cf0da0e3b5e1,65b8bb36000000000202179c,18,01-31,32,12,262.0,4745.0,0.0552160168598524
5d975024000000000100966b,665ab55a00000000050062e0,17,06-01,79,31,174.0,1662.0,0.1046931407942238
6213b096000000001000db1a,65f115dd00000000120239aa,17,03-13,119,34,487.0,8672.0,0.0561577490774907
61e0fb3b0000000010009839,664eafbc0000000014019ca0,5,05-23,36,27,36.0,1487.0,0.0242098184263618
56526e4ce4b1cf0da0e3b5e1,664b17c00000000015012692,4,05-20,196,113,103.0,1487.0,0.0692669804976462
55ba37e567bc652d2acdc72d,64ca20c3000000000b02bbed,4,08-03,798,272,92.0,2513.0,0.0366096299243931
5b7d32c3408dd0000133df33,6634a99b000000001e02d9df,17,05-03,1000,10,146.0,1487.0,0.0981842636180228
5b7d32c3408dd0000133df33,6634a99b000000001e02d9df,17,05-03,1000,10,146.0,1487.0,0.0981842636180228
5f9e1618000000000101ce79,64d8f10c000000000c034134,16,08-13,235,109,42.0,2513.0,0.0167130919220055
5d440885000000001003fb73,665bf3a0000000001303c51d,15,06-02,788,293,48.0,1662.0,0.0288808664259927
59f19270e8ac2b54e5dd9446,6509adb3000000001e020f36,7,09-19,21,5,76.0,3023.0,0.0251405888190539
617fb2900000000010007cda,659770fa000000000f01e94d,8,01-05,10,10,130.0,4745.0,0.0273972602739726
55ba37e567bc652d2acdc72d,64d9fc01000000000a018700,0,08-14,1000,10,101.0,2513.0,0.0401910067648229
6213b096000000001000db1a,65ade240000000002c015537,17,01-22,253,70,384.0,4745.0,0.0809272918861959
5cc2058b0000000011004f19,65d7ec20000000000102872e,13,02-23,368,49,213.0,5853.0,0.0363915940543311
5cc2058b0000000011004f19,65d7ec20000000000102872e,13,02-23,368,49,213.0,5853.0,0.0363915940543311
61f2192900000000100070b8,660bbec1000000001b009b4b,18,04-02,414,32,200.0,3936.0,0.0508130081300813
592c72be50c4b47b345a70f0,65c767ac000000002c035111,1,02-10,553,111,230.0,5853.0,0.0392960874765077
592c72be50c4b47b345a70f0,65c767ac000000002c035111,1,02-10,553,111,230.0,5853.0,0.0392960874765077
6016c3da0000000001008367,664ed4cc00000000050060ab,9,06-11,1529,661,95.0,1662.0,0.0571600481347773
5a9c2131e8ac2b202f6954a2,660a8ed7000000001b008282,0,04-01,283,132,262.0,3936.0,0.0665650406504065
5c17274b0000000005004762,649e751800000000130124cc,11,07-01,2261,1008,89.0,1905.0,0.0467191601049868
61eff0ac0000000010007090,65fa9c7d0000000013026e2f,0,03-20,1000,10,548.0,8672.0,0.0631918819188191
61eff0ac0000000010007090,65fa9c7d0000000013026e2f,0,03-20,1009,397,548.0,8672.0,0.0631918819188191
61f2192900000000100070b8,64a7c55a000000001201149e,13,07-09,391,111,87.0,1905.0,0.0456692913385826
5a8ab60a11be10413f558601,65b87f9f000000002c0132ab,8,01-30,300,60,130.0,4745.0,0.0273972602739726
5fc645030000000001006e6b,6666f93f000000000c01bcc1,17,06-10,157,44,174.0,1662.0,0.1046931407942238
57df3ffc50c4b44f636c3a3a,649a6115000000000800d40e,2,06-27,682,246,91.0,1662.0,0.0547533092659446
5eca3c6e000000000100153f,6645f0f3000000001e01df30,18,05-16,10,10,64.0,1487.0,0.0430396772024209
5eca3c6e000000000100153f,6645f0f3000000001e01df30,18,05-16,171,84,64.0,1487.0,0.0430396772024209
5eca3c6e000000000100153f,6645f0f3000000001e01df30,18,05-16,171,84,64.0,1487.0,0.0430396772024209
5c6a2350000000001102a014,66435b03000000001e0324fa,7,05-14,180,82,90.0,1487.0,0.0605245460659045
5c32b1cf000000000603dd87,64bb980900000000100308f4,19,07-22,7464,1263,113.0,1905.0,0.0593175853018372
56e4273e1c07df0bc302b5c4,6486fa9e0000000011010a3f,10,06-12,358,92,131.0,1662.0,0.0788206979542719
5a8ab60a11be10413f558601,649d55e30000000013007d4c,6,06-29,586,108,61.0,1662.0,0.0367027677496991
5a5e0afb11be1017b83be966,6641ff0b000000001e0332e9,6,05-13,256,81,47.0,1487.0,0.0316072629455279
5a5e0afb11be1017b83be966,6641ff0b000000001e0332e9,6,05-13,10,10,47.0,1487.0,0.0316072629455279
5a5e0afb11be1017b83be966,6641ff0b000000001e0332e9,6,05-13,256,81,47.0,1487.0,0.0316072629455279
5847e03f6a6a6974edfc065e,660508fb0000000012030f53,15,03-28,303,101,490.0,8672.0,0.0565036900369003
5aba606911be10295ed87da0,66208861000000001c00b310,4,04-18,535,69,300.0,3936.0,0.0762195121951219
5f4c99eb0000000001005b17,661f8bf800000000010049f0,0,04-17,8496,3683,262.0,3936.0,0.0665650406504065
5c17274b0000000005004762,665460fb0000000014019c68,11,05-29,818,299,150.0,1487.0,0.1008742434431741
55ba37e567bc652d2acdc72d,64f0c23c000000001f03c79d,3,09-01,1000,10,116.0,3023.0,0.0383724776711875
57b1c7915e87e70b6cb5c5a9,66420e0d000000001e032d9a,6,05-14,10,10,47.0,1487.0,0.0316072629455279
5bc7fce62d9b750001ac98e0,65f2b267000000001203ce53,4,03-17,195,18,775.0,8672.0,0.0893680811808118
5bc7fce62d9b750001ac98e0,65f2b267000000001203ce53,4,03-17,195,18,775.0,8672.0,0.0893680811808118
5e60e721000000000100771f,65a019dd000000001a02b0d7,14,01-12,67,29,204.0,4745.0,0.0429926238145416
55d0154c58944608aec42707,6667bd3a000000001c0203f5,18,06-11,175,32,47.0,1662.0,0.0282791817087845
5cc2058b0000000011004f19,6642b2c6000000001e031a02,5,05-14,3154,336,36.0,1487.0,0.0242098184263618
5cc2058b0000000011004f19,6642b2c6000000001e031a02,5,05-14,3154,336,36.0,1487.0,0.0242098184263618
5cc2058b0000000011004f19,6642b2c6000000001e031a02,5,05-14,3154,336,36.0,1487.0,0.0242098184263618
5cc2058b0000000011004f19,6642b2c6000000001e031a02,5,05-14,3154,336,36.0,1487.0,0.0242098184263618
5a412125e8ac2b1cf0ba046b,65cb2d01000000000a030edf,4,02-29,97,16,537.0,5853.0,0.0917478216299333
5a412125e8ac2b1cf0ba046b,65cb2d01000000000a030edf,4,02-29,97,16,537.0,5853.0,0.0917478216299333
5870687f50c4b44ba361428b,65a4aa2f000000001101e3ed,18,01-15,162,45,262.0,4745.0,0.0552160168598524
59b09e6cb1da1465bbe59b4e,665827130000000005007004,0,05-30,1537,440,71.0,1487.0,0.0477471418964357
5d2f50690000000010032db0,6609fc59000000001b011f91,3,04-01,4428,1742,146.0,3936.0,0.0370934959349593
5e60f1df000000000100a0b6,66055939000000000d00f601,0,03-28,774,218,548.0,8672.0,0.0631918819188191
5e60f1df000000000100a0b6,66055939000000000d00f601,0,03-28,10,10,548.0,8672.0,0.0631918819188191
56e4273e1c07df0bc302b5c4,64c8c42a000000000a01a71d,8,08-01,828,273,155.0,2513.0,0.0616792678074015
5979953e6a6a69531719d4eb,66278766000000001c00488e,6,04-23,10,10,248.0,3936.0,0.0630081300813008
5d440885000000001003fb73,661ba78e000000001b00c3a3,14,04-14,10,10,187.0,3936.0,0.047510162601626
5d440885000000001003fb73,661ba78e000000001b00c3a3,14,04-14,113,50,187.0,3936.0,0.047510162601626
595523f682ec391fe9ffbe02,66221282000000000401b1c2,10,04-19,141,15,200.0,3936.0,0.0508130081300813
5df0e2f60000000001008fb6,665c352f0000000015008e96,14,06-04,2661,992,61.0,1662.0,0.0367027677496991
5d440885000000001003fb73,66417ee5000000001e024665,14,05-13,1788,834,56.0,1487.0,0.0376597175521183
5d440885000000001003fb73,66417ee5000000001e024665,14,05-13,1790,836,56.0,1487.0,0.0376597175521183
5979953e6a6a69531719d4eb,65ee9ff5000000001302751e,6,03-11,41,10,579.0,8672.0,0.0667666051660516
5979953e6a6a69531719d4eb,65ee9ff5000000001302751e,6,03-11,41,10,579.0,8672.0,0.0667666051660516
566d02747c5bb80c23c11f91,665e7d6c000000000c018a73,6,06-04,739,239,61.0,1662.0,0.0367027677496991
566d02747c5bb80c23c11f91,665e7d6c000000000c018a73,6,06-04,739,239,61.0,1662.0,0.0367027677496991
61e0fb3b0000000010009839,66690a74000000000e032c90,7,06-12,34,30,84.0,1662.0,0.0505415162454873
5cc2058b0000000011004f19,664fdc70000000001401955e,11,05-24,1万,1000,150.0,1487.0,0.1008742434431741
5cc2058b0000000011004f19,664fdc70000000001401955e,11,05-24,11135,1024,150.0,1487.0,0.1008742434431741
5cc2058b0000000011004f19,664fdc70000000001401955e,11,05-24,11135,1024,150.0,1487.0,0.1008742434431741
5cc2058b0000000011004f19,664fdc70000000001401955e,11,05-24,11133,1024,150.0,1487.0,0.1008742434431741
57df3ffc50c4b44f636c3a3a,663d9c49000000001e023d5f,2,05-10,359,99,85.0,1487.0,0.0571620712844653
57df3ffc50c4b44f636c3a3a,663d9c49000000001e023d5f,2,05-10,359,99,85.0,1487.0,0.0571620712844653
61f2192900000000100070b8,6492a7be0000000013034b41,15,06-23,235,130,48.0,1662.0,0.0288808664259927
5657fe6082ec392034a6fafa,66307dea000000001e03bc72,15,04-30,10,10,214.0,3936.0,0.0543699186991869
5a5e0afb11be1017b83be966,65e83ead0000000003034931,9,03-07,377,57,475.0,8672.0,0.0547739852398524
5f4c99eb0000000001005b17,660fd141000000001a0117d5,0,04-05,9716,4208,262.0,3936.0,0.0665650406504065
5bc7fce62d9b750001ac98e0,64e2b544000000001201f722,3,08-24,447,105,108.0,2513.0,0.0429765220851571
59b09e6cb1da1465bbe59b4e,664b26bf00000000160137a9,0,05-20,343,68,71.0,1487.0,0.0477471418964357
61eff0ac0000000010007090,65e1942e000000000b00f8ac,3,03-01,339,133,372.0,8672.0,0.0428966789667896
61bc9352000000001000ec0d,65e153e3000000000b0188c7,0,03-01,2331,1106,548.0,8672.0,0.0631918819188191
5e1979350000000001000304,66497b6c00000000160106f4,1,05-19,364,81,15.0,1487.0,0.0100874243443174
5e1979350000000001000304,66497b6c00000000160106f4,1,05-19,364,81,15.0,1487.0,0.0100874243443174
5c32b1cf000000000603dd87,64fa97010000000014025a0b,9,09-08,345,62,297.0,3023.0,0.0982467747270923
5c32b1cf000000000603dd87,64fa97010000000014025a0b,9,09-08,345,62,297.0,3023.0,0.0982467747270923
6186bbbe000000001000edb1,660ccd02000000001a01313e,12,04-03,10,3,127.0,3936.0,0.0322662601626016
61bc9352000000001000ec0d,65d6ca65000000000b00d29a,15,02-22,1万,1万,313.0,5853.0,0.0534768494788997
57df3ffc50c4b44f636c3a3a,6630764a000000001e02e0ae,3,04-30,1000,10,146.0,3936.0,0.0370934959349593
57df3ffc50c4b44f636c3a3a,6630764a000000001e02e0ae,3,04-30,1187,686,146.0,3936.0,0.0370934959349593
5aa3c4b04eacab3f6561dd70,64ca3c86000000001700d2cd,15,08-02,61,32,44.0,2513.0,0.017508953442101
5a8ab60a11be10413f558601,662c754e0000000001005e09,9,04-27,1427,268,274.0,3936.0,0.0696138211382113
5bc7fce62d9b750001ac98e0,65ea68840000000001028e72,16,03-08,136,8,239.0,8672.0,0.0275599630996309
5bc7fce62d9b750001ac98e0,65ea68840000000001028e72,16,03-08,10,8,239.0,8672.0,0.0275599630996309
5d975024000000000100966b,665dae1c000000001401bfd2,14,06-03,29,2,61.0,1662.0,0.0367027677496991
